,Children,Age,Income,Churn,Tenure,Bandwidth_GB_Year
0,0,68,28561.99,0,6.795512947,904.5361102
1,1,27,21704.77,1,1.156680997,800.9827661
2,4,50,9609.57,0,15.75414408,2054.706961
3,1,48,18925.23,0,17.08722662,2164.579412
4,0,83,40074.19,1,1.670971726,271.4934362
5,3,83,22660.2,0,7.000993555,1039.357983
6,0,79,11467.5,1,13.23677381,1907.242972
7,2,30,26759.64,1,4.26425515,979.6127078
8,2,49,58634.51,0,8.220686373,1312.874964
9,1,86,50231.4,0,3.422086139,508.7637913
10,7,23,22580.7,0,19.26726194,2728.767869
11,2,56,18342.12,0,10.52199781,1180.588788
12,0,83,83671.08,0,13.01149229,1196.388018
13,5,29,115114.57,0,16.87922024,1948.694497
14,1,30,64256.81,1,10.06019902,1582.295235
15,3,39,89061.45,1,13.87001293,1840.014467
16,0,63,31659.3,1,15.78214958,2070.376729
17,2,60,44142.81,1,2.303331273,882.0985933
18,3,61,39262.14,0,17.10995632,1833.0967
19,3,23,19494.75,1,12.80615845,1954.080809
20,4,38,39624.21,0,20.45390977,2330.319383
21,3,30,45714.47,0,2.415991977,594.1054279
22,3,52,27442.03,0,6.652298992,713.0633088
23,2,68,79699.62,0,8.543717478,945.3802928
24,3,75,28520.32,1,5.770390256,870.76398
25,1,77,12558.83,1,4.157658837,774.2937069
26,1,47,8762.23,1,10.40566091,1506.446527
27,0,70,43882.72,1,1.392421597,419.0508708
28,3,20,10482.52,1,1.430386349,1259.415493
29,4,69,33442.79,1,5.425864884,1745.125956
30,9,45,43383.54,0,11.08287797,1795.465729
31,0,40,21793.88,0,3.586184954,492.4771472
32,6,82,51960.51,1,4.727388465,1013.993166
33,5,74,25942.1,1,20.89923386,2680.762173
34,4,69,11211.59,1,3.471329958,1081.814362
35,1,52,8283.29,1,5.478588204,1209.961168
36,2,26,10114.81,1,3.312991809,897.5919144
37,1,25,36229.21,0,7.161561527,1340.930156
38,1,66,25397.44,0,9.847563364,1113.993679
39,1,72,50336.5,0,16.04202196,1530.10769
40,3,21,38211.37,0,9.179779682,1310.137419
41,3,55,52887.26,0,3.002844144,892.8964931
42,4,41,12003.33,1,3.924254455,1125.581944
43,4,32,24090.62,0,18.55959629,2016.710031
44,0,22,15137.93,1,8.798394712,1412.736809
45,2,44,54458.38,1,10.377366,1710.689671
46,2,23,132116.33,1,22.25746016,2384.885909
47,3,43,37358.13,1,9.427146079,1213.940165
48,1,86,26534.16,0,7.760290062,740.010722
49,2,84,76430.83,0,11.56938439,897.9716153
50,2,62,4662.37,1,3.343811019,1026.387172
51,5,68,43820.85,1,7.338869531,1234.244324
52,1,59,38391.55,0,5.486534225,727.3731845
53,0,31,44137.6,1,1.55278221,452.8721504
54,0,51,14364.65,1,12.07970325,1296.674543
55,1,58,62359.91,0,13.98666226,1840.628269
56,1,73,82634.86,1,9.563362997,1324.330108
57,1,33,15690.25,0,6.732948946,958.1397059
58,1,58,14568.7,1,15.72071086,1868.864027
59,0,49,29207.46,0,7.233605493,676.712908
60,1,26,55319.23,0,2.871017037,1086.990308
61,1,25,81831.49,0,2.344875382,704.7540406
62,0,42,100076.65,1,7.960490246,1416.444695
63,1,81,69965.65,0,12.25062113,1095.950634
64,1,43,34883.69,0,9.634946079,1083.610268
65,2,63,45634.2,0,7.916533093,1570.641337
66,3,70,10964.73,1,4.471254161,1007.425553
67,1,78,22365.28,1,10.79028074,1323.028419
68,0,48,52636.6,0,12.24190682,1808.730555
69,1,63,19048.13,1,2.203859443,1120.241472
70,4,60,42784.82,1,23.92132231,2676.789803
71,0,87,77996.88,1,3.7311787,1268.086909
72,3,54,47507.3,0,7.980015371,822.6771666
73,3,35,7724.73,1,9.190009376,1577.915603
74,1,70,1509.52,1,2.378630018,648.7471776
75,2,67,81124.71,1,5.43464555,1648.102673
76,4,46,11795.57,1,1.092361222,768.0874545
77,1,50,74794.84,0,20.13981517,2426.030626
78,1,24,19038.78,1,24.64873861,2660.503932
79,0,20,79167.77,0,9.677739656,1129.549713
80,1,29,37428.26,1,9.82814183,1771.286466
81,0,31,45148.38,0,7.832238337,943.3391244
82,5,72,74855.47,0,19.45250317,1907.226083
83,4,71,45323.86,0,14.34766616,1885.939118
84,2,32,71596.14,0,2.257358355,631.7435653
85,0,33,10389.95,0,2.358129018,562.6095219
86,3,67,19657.14,0,4.650578623,593.8572264
87,0,66,27827.03,1,3.721772616,777.3060718
88,4,21,15609.05,1,3.76663012,1393.202392
89,0,61,19815.63,0,4.151256695,393.6524652
90,0,75,58482.9,1,2.188918771,409.7486664
91,0,63,41656.53,1,13.85488928,2138.107161
92,0,68,115510.46,0,3.273341151,443.984031
93,2,32,15841.19,1,19.75096265,2481.385603
94,0,76,81127.41,0,18.38404445,2233.567181
95,0,29,24270.88,1,4.672610857,1158.91369
96,0,83,54466.33,0,6.796299371,529.40733
97,10,23,64816.84,1,12.97632235,1956.7337
98,5,80,103311.26,0,20.31163945,2056.386979
99,0,20,40211.04,0,6.998814446,1067.373076
100,0,69,58077.38,1,14.46288204,1806.135733
101,1,32,43466.35,0,11.13472066,1397.701335
102,0,53,23289.77,1,2.542296644,808.4305471
103,2,25,49158.49,0,17.22596021,1886.531937
104,0,69,3805.84,1,22.79214163,2294.781131
105,3,71,52616.27,1,3.823689744,826.3438621
106,3,53,30550.42,1,10.77094687,2072.564168
107,2,56,12154.01,1,13.08671185,1436.793746
108,0,42,30649.31,1,14.76468813,1963.332683
109,3,33,31417.33,1,9.473091121,1324.164906
110,1,47,55861.19,0,5.197446331,704.9375603
111,1,48,9044.26,1,6.577552683,888.6517305
112,0,63,25381.66,1,3.174571918,377.0810282
113,1,40,65064.31,0,17.88002366,1606.489936
114,0,67,12527.51,1,13.12190056,1431.409396
115,0,56,35499.06,0,23.34617699,2253.85247
116,6,24,26282.4,0,6.311709178,1353.29384
117,2,79,51237.28,0,12.58298231,1701.457566
118,3,61,64222.21,1,7.120096363,1290.737183
119,0,38,11014.98,1,9.344886869,1403.270091
120,4,28,21172.49,0,22.37815032,2603.903672
121,3,44,26130.78,1,4.799514433,1256.287854
122,1,65,36478.21,0,10.04672315,980.9935923
123,3,35,54533.63,0,8.156552837,1347.869205
124,2,31,37103.18,0,7.992791229,1127.267848
125,2,34,74679.84,0,7.231032028,1269.836202
126,2,68,95028.57,1,4.627672042,1038.745378
127,0,62,34281.1,0,10.05306287,1531.155367
128,0,52,36240.81,0,4.171044392,991.2441024
129,5,32,9515.64,1,4.568682641,1244.296865
130,0,47,125814.88,1,6.085030507,1162.332926
131,8,66,12995.68,0,2.730250735,577.1157824
132,1,70,77531.43,1,8.574901206,1442.974877
133,3,41,87354.99,1,9.743201772,1577.208717
134,2,59,76567.85,0,9.482919033,886.9398744
135,1,46,30663.52,0,8.447988841,1065.06443
136,3,70,122957.19,0,6.365998533,951.886985
137,1,89,31600.92,0,7.251397592,1404.435534
138,4,75,74638.78,1,14.64011644,1925.911722
139,0,26,32652.3,1,11.71637124,1805.011298
140,4,25,63650.54,0,4.13273503,700.7343179
141,1,84,28622.6,1,2.887429547,513.237305
142,3,69,50252.79,0,3.303030246,717.3876564
143,3,31,19800.81,0,5.15825129,1313.492851
144,10,76,35954.77,1,3.237560234,819.4195269
145,8,75,36342.31,1,2.733109234,882.1160656
146,1,74,48715.53,1,3.180102025,724.7803356
147,1,49,23204.98,0,15.85983755,1829.270014
148,1,47,35302.52,1,11.73724209,1668.199119
149,4,20,54895.16,1,7.006240694,1124.353152
150,2,26,60398.06,1,5.562130367,1316.239744
151,2,72,8115.88,0,14.53027663,1637.201426
152,1,41,33858.66,0,5.905906389,951.8524406
153,3,26,29950.47,1,3.260462654,1248.097652
154,4,55,49421.69,0,18.91276578,2220.255405
155,1,46,11061.05,0,14.25617986,1669.202417
156,0,87,15388.32,1,7.983887266,990.0555076
157,1,39,20624.31,0,5.969967132,967.9819136
158,0,81,47877.81,1,19.95277818,2190.259876
159,0,83,46154.17,0,14.85781115,1445.752781
160,0,50,107111.8,1,2.600063739,528.6553088
161,3,87,10403.59,1,11.92299244,1296.481055
162,3,76,22412.6,0,5.972864167,1195.393037
163,6,25,19476.27,1,10.87555535,1700.121992
164,3,34,96382.76,1,16.00330155,2120.673828
165,1,46,28022.56,0,12.63074989,1238.421347
166,1,73,35478.4,0,8.4944392,847.110799
167,8,57,10155.51,1,8.044444101,1112.937102
168,3,58,87537.25,0,12.07358377,1623.045026
169,4,70,34112.1,1,10.21634248,1479.730181
170,0,53,32653.51,1,15.50354683,2144.735024
171,0,31,35321.46,1,13.88004531,1522.289512
172,0,38,49277.48,0,19.48900163,1974.780054
173,0,26,37297.82,1,10.01771765,1261.177198
174,2,44,14928.96,0,7.34059599,939.7181324
175,3,66,24702.68,1,12.64742067,1357.062854
176,1,58,87535.71,0,8.850426839,1456.887443
177,6,51,63166.87,1,3.701557118,937.5863866
178,4,34,11856.81,0,2.976033785,830.1193011
179,0,87,27326.79,0,5.522376826,737.8564608
180,1,67,12779.23,1,15.64596698,1781.854862
181,4,59,25519.91,1,23.00764441,2464.577489
182,7,23,46871.21,0,17.24924155,2392.203409
183,0,42,77383.72,1,13.01107597,1664.19271
184,1,24,47395.3,1,5.104082209,1433.616898
185,2,81,90977.74,0,3.521499924,823.4933243
186,8,78,135727.71,0,8.08137067,1468.357421
187,1,51,47726.25,1,1.875430489,590.7765801
188,1,70,51721.64,0,5.587484456,418.6206885
189,0,87,41531.03,0,7.007695148,1181.991846
190,0,46,33504.8,0,1.408375942,733.4036934
191,8,56,34197.3,1,11.64983735,1719.173387
192,4,44,11518.58,1,2.964559883,1205.956363
193,0,33,31065.17,0,10.25635754,1261.032763
194,0,19,32097.17,1,3.892407013,741.7766988
195,1,31,23424.88,1,3.226996711,932.6084359
196,1,34,35988.24,0,15.87685513,1708.614019
197,4,43,35539.7,0,5.874064017,1363.58603
198,1,82,27959.34,0,3.756359276,472.1057019
199,6,36,52232.97,0,2.905283283,558.2340556
200,1,48,18198.59,1,1.474810061,815.194738
201,0,52,16851.94,1,18.56165869,2007.303617
202,1,35,16440.05,1,12.39088509,2088.48083
203,3,83,44223.58,0,14.17192333,1430.761492
204,0,20,33343.73,0,3.86023041,822.3008694
205,0,25,30664.56,1,17.72593456,2059.200998
206,0,88,31934.04,0,3.043063167,617.542543
207,1,54,26676.4,0,5.827112819,758.4775985
208,1,46,67211.95,1,4.648958177,894.6733856
209,2,75,31136.77,0,11.96274778,1639.898269
210,5,66,40660.84,0,4.525864256,710.7541633
211,0,51,10606.59,0,8.038308899,1092.226042
212,3,81,92447.71,0,1.416592892,757.0097075
213,0,75,13612.16,0,19.83504645,2301.850721
214,3,54,13765.39,1,15.85002222,2401.406545
215,2,73,53019.98,0,15.94935291,1535.788894
216,0,53,42523.02,0,11.94550648,1536.589816
217,8,33,52143.7,0,16.03360405,2153.778421
218,5,41,19097.94,0,21.29342532,2409.195918
219,1,59,11301.4,0,4.95598008,1342.862457
220,3,23,17814.0,1,2.73951266,1046.054674
221,1,32,22533.05,1,4.973046104,1204.479468
222,3,51,19974.4,1,10.28430068,1616.908193
223,1,46,45146.99,0,2.581692044,345.0099528
224,3,37,10330.1,1,6.945736396,1427.088655
225,0,53,15281.28,0,9.999416271,1452.334634
226,1,62,11217.96,1,6.035737465,795.4957358
227,1,57,17516.0,0,9.004964377,1333.894229
228,2,80,20566.64,1,5.071456681,1402.20491
229,1,43,36128.68,1,12.02106494,1447.196935
230,1,35,52129.84,1,5.049303717,1662.510936
231,1,63,25985.06,0,18.17247008,1707.641161
232,1,63,10909.79,1,15.31997698,2181.752793
233,1,27,41151.14,0,16.0708543,1575.683555
